'a'ba'la'ti'ya 阿巴拉提亚
'wu'tou'yi'shi 无头医师
'wu'wang'liu'min'jie 无望流民街
'wu'wei'shou'zhi 无味兽脂
'wu'xia'bai'ran'ji 无瑕白染剂
'wu'xia'ling'jun 无瑕灵君
'wu'xia'ling'jun'de'yi'pian 无瑕灵君的翼片
'wu'xia'ling'jun'jian'ji'zhan 无瑕灵君歼殛战
'wu'xia'ling'jun'jian'mie'zhan 无瑕灵君歼灭战
'wu'xia'ling'long 无瑕玲龙
'wu'xian'cheng'bi'deng 无限城壁灯
'wu'xian'cheng'de'si'dou 无限城的死斗
'wu'xian'cheng'shi'cai 无限城石材
'wu'xu 雾须
'wu'xu'yu 无须鱼
'wu'ya'ni'er 乌鸦拟饵
'wu'ya'zhi'yu 乌鸦之羽
'wu'yan'yu 雾眼鱼
'wu'ye'lan'ran'ji 午夜蓝染剂
'wu'ying'la'ha'bu'lei'ya 无影拉哈布雷亚
'wu'zei'mo'zhi 乌贼墨汁
'wu'zhong'xing'zhe'xi'wu 雾中行者夕雾
'wu'zhuang'sheng'yu'fang'lang'shen'gu'shen'dian 武装圣域放浪神古神殿
'wu'zhuang'zhong'jia 武装重甲
'wu'zi'dao'bei'yu 乌兹刀背鱼
'wu'zi'dao'bei'yu'tian'ji 乌兹刀背鱼天极
'wu'zi'ding 乌兹锭
'wu'zi'kuang 乌兹矿
'xi'de 希德
'xi'de'jia'long'de 西德加隆德
'xi'er'da 希尔达
'xi'er'de'la 希尔德拉
'xi'er'de'la'gai'ji'chuan'shou 希尔德拉改级船首
'xi'er'de'la'gai'ji'chuan'ti 希尔德拉改级船体
'xi'er'de'la'gai'ji'chuan'wei 希尔德拉改级船尾
'xi'er'de'la'gai'ji'jian'qiao 希尔德拉改级舰桥
'xi'er'de'la'ji'chuan'shou 希尔德拉级船首
'xi'er'de'la'ji'chuan'shou'gu'jia 希尔德拉级船首骨架
'xi'er'de'la'ji'chuan'ti 希尔德拉级船体
'xi'er'de'la'ji'chuan'ti'gu'jia 希尔德拉级船体骨架
'xi'er'de'la'ji'chuan'wei 希尔德拉级船尾
'xi'er'de'la'ji'chuan'wei'gu'jia 希尔德拉级船尾骨架
'xi'er'de'la'ji'jian'qiao 希尔德拉级舰桥
'xi'er'de'la'ji'jian'qiao'gu'jia 希尔德拉级舰桥骨架
'xi'er'di'bu'lan'de'na'xiu'ma'ka'la'ka 希尔迪布兰德娜修玛卡拉卡
'xi'er'ke'si'shui'jing'sui'pian 希尔科斯水晶碎片
'xi'fang 西方
'xi'fang'jian'shi'ta 西方监视塔
'xi'feng'jia 西风岬
'xi'hu'lu 西葫芦
'xi'jia'chong'jia'qiao 犀甲虫甲壳
'xi'jin'ruan'zhi'nai'lao 洗浸软质奶酪
'xi'kao'la'ke'si'bei 西考拉克斯贝
'xi'kuang 锡矿
'xi'la'di'ha 希拉狄哈
'xi'la'di'ha'yi'ji 希拉狄哈遗迹
'xi'la'nuo'xi'ya 西拉诺西亚
'xi'liu'suan 稀硫酸
'xi'long'lin'qiao 西龙鳞桥
'xi'que'er 喜鹊儿
'xi'sa'na'lan 西萨纳兰
'xi'sha 细沙
'xi'shui'gong'qi'yu 西水弓鳍鱼
'xi'wa 希瓦
'xi'wa'jian'ji'zhan 希瓦歼殛战
'xi'wa'jian'mie'zhan 希瓦歼灭战
'xi'wa'mo'lei 希瓦魔泪
'xi'wa'zhi'lei 希瓦之泪
'xi'wa'zhi'xing 希瓦之形
'xi'xue 吸血
'xi'xue'ba'mu'man 吸血八目鳗
'xi'xue'bian 吸血鞭
'xi'xue'cao'bei'de'juan'xu 吸血草杯的卷须
'xi'xue'mo'tan 吸血魔毯
'xi'xue'teng'de'shu'zhi 吸血藤的树汁
'xi'xue'zhi 吸血枝
'xi'yang'hong'bei 夕阳红贝
'xi'yi'de'wei'ba 蜥蜴的尾巴
'xi'yi'ren 蜥蜴人
'xi'yi'ren'gong'dou'bing 蜥蜴人攻斗兵
'xi'yi'ren'gong'shou 蜥蜴人弓手
'xi'yi'ren'ji'bing 蜥蜴人戟兵
'xi'yi'ren'ju'lie'bing 蜥蜴人狙猎兵
'xi'yi'ren'jun'zhen'di 蜥蜴人军阵地
'xi'yi'ren'qiang'bing 蜥蜴人枪兵
'xi'yi'ren'quan'shou 蜥蜴人拳手
'xi'yi'ren'shou'lie'bing 蜥蜴人狩猎兵
'xi'yi'ren'tou'qiang'bing 蜥蜴人投枪兵
'xi'yi'ren'wan'ou 蜥蜴人玩偶
'xi'yi'ren'you'lie'bing 蜥蜴人游猎兵
'xi'yi'ren'yu'zhi'fa'shi 蜥蜴人预知法师
'xi'yi'ren'zhan'bu'fa'shi 蜥蜴人占卜法师
'xi'yong'heng'chuan 西永恒川
'xi'yue'tian'nv 夕月天女
'xi'zi 席兹
'xi'zi'chu'niao 席兹雏鸟
'xia'chen'you'er'yu 下沉诱饵鱼
'xia'gu'tu'jiu 峡谷秃鹫
'xia'hu'wan'zi 虾虎丸子
'xia'you'yu 下游鱼
'xian'bing'pi 馅饼坯
'xian'dao'ju'yu 贤岛巨鱼
'xian'gui'da'di'ku 显贵打底裤
'xian'gui'duan'shang'yi 显贵短上衣
'xian'gui'gao'gen'xie 显贵高跟鞋
'xian'gui'shou'tao 显贵手套
'xian'gui'shu'wei'cao 显贵鼠尾草
'xian'gui'wu'yan'mao 显贵无檐帽
'xian'gui'ying'zun 显贵樱鳟
'xian'guo'mu'mu'cai 仙果木木材
'xian'guo'mu'yuan'mu 仙果木原木
'xian'hong'luo'lan'mei 鲜红罗兰莓
'xian'hou'lu 仙后鲈
'xian'jing'cao'de'ye'zi 陷阱草的叶子
'xian'jing'cao'sha'la 陷阱草沙拉
'xian'jing'mo'gu 仙境魔菇
'xian'jun'xia'gu'sai'er'fa'te'er'xi'gu 险峻峡谷塞尔法特尔溪谷
'xian'nv'bei 仙女贝
'xian'nv'lu 仙女鲈
'xian'nv'ping'guo 仙女苹果
'xian'ren'ci 仙人刺
'xian'ren'ci'tao'bing 仙人刺逃兵
'xian'ren'ci'xian'sheng 仙人刺先生
'xian'ren'dun 仙人盾
'xian'ren'zhang 仙人掌
'xian'ren'zhang'de'zhen 仙人掌的针
'xian'ren'zhang'ran'ji 仙人掌染剂
'xian'ren'zhang'ye 仙人掌叶
'xian'ren'zhang'zhi'you 仙人掌挚友
'xian'ren'zhen 仙人针
'xian'shan'ling'sha 险山灵砂
'xian'shou'weng 仙寿翁
'xian'shu'xiong'mao 仙术熊猫
'xian'tang'bao 鲜汤宝
'xian'wang'mo'gu'er'mo'gu'shi'er'shi 贤王莫古尔莫古十二世
'xian'wei'ban'zhi'shou'tao 纤维半指手套
'xian'wei'bei'lei'mao 纤维贝雷帽
'xian'wei'bu 纤维布
'xian'wei'chang'pao 纤维长袍
'xian'wei'chang'wai'yi 纤维长外衣
'xian'wei'chen'liao 纤维衬料
'xian'wei'da'di'dou'mao 纤维大地兜帽
'xian'wei'dou'mao 纤维兜帽
'xian'wei'gong'shu'shou'tao 纤维弓术手套
'xian'wei'gong'zuo'shou'tao 纤维工作手套
'xian'wei'jing 显微镜
'xian'wei'ku'wa 纤维裤袜
'xian'wei'kuan'bian'mao 纤维宽边帽
'xian'wei'li'fu'shou'tao 纤维礼服手套
'xian'wei'li'xie 纤维礼鞋
'xian'wei'qi'shi'mao 纤维骑士帽
'xian'wei'ruan'jia'ku 纤维软甲裤
'xian'wei'shou'lie'mao 纤维狩猎帽
'xian'wei'shu'xi'ku 纤维束膝裤
'xian'wei'shu'yao'lie'yi 纤维束腰猎衣
'xian'wei'tui'tao 纤维腿套
'xian'wei'wai'pao 纤维外袍
'xian'wei'yao'wei 纤维腰围
'xian'xue'bin 鲜血滨
'xian'xue'bin'ci'yan'shui'mu 鲜血滨刺眼水母
'xian'xue'bin'ling'shui'mu 鲜血滨铃水母
'xian'xue'cheng 鲜血橙
'xian'xue'hong'ran'ji 鲜血红染剂
'xian'xue'tiao'yu 鲜血跳鱼
'xian'zhe'shu 贤者树
'xian'zhe'zhi'ge 贤者之歌
'xian'zhe'zuo'yi 贤者座椅
'xian'zi'cai'hong'jiang 仙子彩虹鳉
'xian'zi'ling'long 仙子玲龙
'xian'zi'mei 仙子梅
'xian'zi'mei 仙子莓
'xian'zi'mei'ran'ji 仙子梅染剂
'xian'zi'mian 仙子棉
'xian'zi'mian'bu 仙子棉布
'xian'zi'mian'xian 仙子棉线
'xian'zi'mian'yang'mao 仙子绵羊毛
'xian'zi'ping'guo 仙子苹果
'xian'zi'ren'ou 仙子人偶
'xian'zi'yu 仙子鱼
'xian'zi'zhu 仙子猪
'xiang'cai 香菜
'xiang'cao'cha 香草茶
'xiang'cao'dou 香草豆
'xiang'gen'yu 橡根鱼
'xiang'gu 香菇
'xiang'gui 箱龟
'xiang'guo'bing'gan 橡果饼干
'xiang'guo'wo'niu 橡果蜗牛
'xiang'guo'zha'dan 橡果炸弹
'xiang'guo'zong'ran'ji 橡果棕染剂
'xiang'hui'shi'shu 香烩时蔬
'xiang'ji 香荠
'xiang'jiao 橡胶
'xiang'jiao'dai 橡胶带
'xiang'jiao'di 橡胶底
'xiang'mo'ren'ou 象魔人偶
'xiang'mu'ban'cai 橡木板材
'xiang'mu'chang'gong 橡木长弓
'xiang'mu'fu'he'gong 橡木复合弓
'xiang'mu'mu'cai 橡木木材
'xiang'mu'mu'xie 橡木木鞋
'xiang'mu'ting'yuan'chang'yi 橡木庭院长椅
'xiang'mu'yin'zhang 橡木银杖
'xiang'mu'yuan'mu 橡木原木
'xiang'shu'yuan 橡树原
'xiang'shu'zhi 橡树枝
'xiang'tie'xiao'yuan'dun 镶铁小圆盾
'xiang'tuo'tuo 香托托
'xiang'tuo'tuo'ren'ou 香托托人偶
'xiang'wei'nong'yu'de'ye'cao 香味浓郁的野草
'xiang'xing 香杏
'xiang'ya'ta 象牙鳎
'xiang'yin'bu'bing'dun 镶银步兵盾
'xiang'yin'xiao'yuan'dun 镶银小圆盾
'xiang'yu 香鱼
'xiao'a'la'mi'ge 小阿拉米格
'xiao'ai'tu 小矮兔
'xiao'bao'xin'cai 小包心菜
'xiao'bian'dou 小扁豆
'xiao'bian'dou'zhu'shan'li 小扁豆煮山栗
'xiao'bian'fu 小蝙蝠
'xiao'chan'chu 笑蟾蜍
'xiao'chang'jing'tuo 小长颈驼
'xiao'chou'qiu 小丑鳅
'xiao'chou'yu 小丑鱼
'xiao'chou'yu'yan'dan 小丑预言蛋
'xiao'ci'wei 小刺猬
'xiao'duan'ye'wu 小锻冶屋
'xiao'dun'kou'yuan 小钝口螈
'xiao'fang'bo'di 小防波堤
'xiao'guang'ling'sha 晓光灵砂
'xiao'hong'hua 小红花
'xiao'hu'fu 小狐蝠
'xiao'hua'jia'chong 小花甲虫
'xiao'jiao'xue'ren 小脚雪人
'xiao'jin'jie 小金街
'xiao'ke'xie 小壳蟹
'xiao'lang 小狼
'xiao'li'wei'ya'sang 小利维亚桑
'xiao'liang'nan'xi 小凉南希
'xiao'liang'yan 小亮眼
'xiao'lin'wan 小林丸
'xiao'liu'xing 小流星
'xiao'mai 小麦
'xiao'mai'fen 小麦粉
'xiao'mai'jiu'gang 小麦酒港
'xiao'man'de'la 小曼德拉
'xiao'meng'mo 小梦貘
'xiao'mie'e'tu'tuan'huo'ji'sheng'feng'tuan 消灭恶徒团伙寄生蜂团
'xiao'mo'jing'de'chi'bang 小魔精的翅膀
'xiao'mu'nai'yi 小木乃伊
'xiao'nian'yu 小鲶鱼
'xiao'ning'meng 小柠檬
'xiao'niu'du 小牛犊
'xiao'po'liu'ka'si 小珀琉喀斯
'xiao'qiu'yu 小犰狳
'xiao'sa'la'ao'si 小撒拉奥斯
'xiao'shan'yang'wan'ou 小山羊玩偶
'xiao'shi 硝石
'xiao'shi'ci'lang 小石次郎
'xiao'shi'shi 小石狮
'xiao'shi'wang'du 消逝王都
'xiao'shu'dai'xiong 小树袋熊
'xiao'song'shu 小松鼠
'xiao'tong'pao'qun 小桶炮群
'xiao'tu'long 小土龙
'xiao'wang'guan 小王冠
'xiao'xiao'a'tuo'mo'si 小小阿托莫斯
'xiao'xiao'ai'qi'de'na 小小艾奇德娜
'xiao'xiao'ai'shen 小小爱神
'xiao'xiao'bing'hai'tian'shi 小小冰海天使
'xiao'xiao'di'zi'er 小小迪兹尔
'xiao'xiao'gu'dai'ren 小小古代人
'xiao'xiao'ji'er'jia'mei'shi 小小吉尔伽美什
'xiao'xiao'man'de'la 小小曼德拉
'xiao'xiao'man'de'la 小小蔓德拉
'xiao'xiao'mo'jing 小小魔精
'xiao'xiong'mao 小熊猫
'xiao'xue'tong'zi 小雪童子
'xiao'ya'zui'shou 小鸭嘴兽
'xiao'yao'hu 小妖狐
'xiao'ying'he'zui'gao 小鹰鹤嘴镐
'xiao'yuan'bing 小圆饼
'xiao'zhen'ce 小侦测
'xiao'zhuan'xiang'bing 小砖像兵
'xie'er'da'lai'bo'cai 谢尔达莱菠菜
'xie'er'da'lai'nen'bo'cai 谢尔达莱嫩菠菜
'xie'er'da'lai'qun'dao 谢尔达莱群岛
'xie'fang'yu 斜方鱊
'xie'gui'de'chi'bang 邪鬼的翅膀
'xie'gui'ge 邪鬼革
'xie'gui'gong'zuo'fu 邪鬼工作服
'xie'jia'shou'gu'chang'zhang 蟹甲兽骨长杖
'xie'jia'yu'qiang 蟹甲鱼枪
'xie'jia'zhan'gong 蟹甲战弓
'xie'jiao'zhu'di'wu'xian'cheng'gu'bao 邪教驻地无限城古堡
'xie'long'diao'xiang 邪龙雕像
'xie'long'wang'zuo'long'chao'shen'dian 邪龙王座龙巢神殿
'xie'long'zhi'lin 邪龙之鳞
'xie'nian'yao'di'wu'xian'cheng'gu'bao 邪念妖地无限城古堡
'xie'shi 榍石
'xie'shi'dong 楔石洞
'xie'shi'er'zhui 榍石耳坠
'xie'shi'jie'zhi 榍石戒指
'xie'shi'shou'zhuo 榍石手镯
'xie'shi'xiang'huan 榍石项环
'xie'shi'yuan'shi 榍石原石
'xie'si 邪嗣
'xie'tie'ding 卸铁锭
'xie'yi'xun'yi'cao 邪衣薰衣草
'xie'you 蟹油
'xin'bei 心贝
'xin'da'lu 新大陆
'xin'kuang 锌矿
'xin'la'dan 辛辣蛋
'xin'lai'zhe'cai'pi'dao 新来者裁皮刀
'xin'lai'zhe'chang'wai'yi 新来者长外衣
'xin'lai'zhe'chang'xue 新来者长靴
'xin'lai'zhe'chu'dao 新来者厨刀
'xin'lai'zhe'cuo'dao 新来者锉刀
'xin'lai'zhe'diao'gan 新来者钓竿
'xin'lai'zhe'diao'jin'chui 新来者雕金锤
'xin'lai'zhe'fang'che 新来者纺车
'xin'lai'zhe'feng'zhen 新来者缝针
'xin'lai'zhe'gong'zuo'kan'jian 新来者工作坎肩
'xin'lai'zhe'gong'zuo'ku 新来者工作裤
'xin'lai'zhe'he'zui'chu 新来者鹤嘴锄
'xin'lai'zhe'heng'tou'chui 新来者横头锤
'xin'lai'zhe'lian'dao 新来者镰刀
'xin'lai'zhe'ping'di'guo 新来者平底锅
'xin'lai'zhe'ping'zhan 新来者平斩
'xin'lai'zhe'sha'lun'ji 新来者砂轮机
'xin'lai'zhe'shou'fu 新来者手斧
'xin'lai'zhe'shou'ju 新来者手锯
'xin'lai'zhe'shou'qian 新来者手钳
'xin'lai'zhe'shou'tao 新来者手套
'xin'lai'zhe'sui'shi'chui 新来者碎石锤
'xin'lai'zhe'tou'jia 新来者头甲
'xin'lai'zhe'yan'bo 新来者研钵
'xin'lai'zhe'yang'jiao'chui 新来者羊角锤
'xin'lai'zhe'zheng'liu'qi 新来者蒸馏器
'xin'lai'zhe'zhu'jia'chui 新来者铸甲锤
'xin'li'mo'jing'shi 信力魔晶石
'xin'sheng'hun'shi 新生魂石
'xin'shu 新薯
'xin'shu'ni 新薯泥
'xin'xing'juan'bing 心形卷饼
'xin'xing'mi'ni'a'li'sai 新型迷你阿莉塞
'xin'xing'mi'ni'ai'si'di'ni'an 新型迷你埃斯蒂尼安
'xin'xing'mi'ni'lao'ban 新型迷你劳班
'xin'xing'mi'ni'sang'ke'rui'de 新型迷你桑克瑞德
'xin'xing'mi'ni'ta'ta'lu 新型迷你塔塔露
'xin'xing'mi'ni'xi'wu 新型迷你夕雾
'xin'xing'mi'ni'ya'xiu'te'la 新型迷你雅修特拉
'xin'ying 新颖
'xin'zhi'lin 新植林
'xing'ba'jiao 星八角
'xing'chen'sha'tang 星尘砂糖
'xing'dao'si 星导寺
'xing'dian'dong'fang'tun 星点东方鲀
'xing'dian'li'shu 星点栗鼠
'xing'dong'ji'neng 行动技能
'xing'dun 星吨
'xing'fu'tu 幸福兔
'xing'guang'li 星光砾
'xing'guang'shi 星光石
'xing'guang'zun'yu 星光鳟鱼
'xing'hai'kong'jian'dian'dao'ta 星海空间颠倒塔
'xing'hong'shi 星红石
'xing'hong'shi'yuan'shi 星红石原石
'xing'hua 星花
'xing'hua'mu'mu'cai 星桦木木材
'xing'hui'ling 行会令
'xing'ji'hua 星极花
'xing'ji'shou'zhuo 星极手镯
'xing'ji'xiang'huan 星极项环
'xing'ji'you 星极油
'xing'ji'zhi'huan 星极指环
'xing'jian'shi 星尖石
'xing'jian'shi'yuan'shi 星尖石原石
'xing'juan'bu 星绢布
'xing'lan'shi 星蓝石
'xing'lan'shi'yuan'shi 星蓝石原石
'xing'li'hai'dai 星里海带
'xing'ling'yi'wei 星灵移位
'xing'lun'luo 星轮螺
'xing'ma'long'xia 星码龙虾
'xing'mang'xiong 星芒熊
'xing'mian 星棉
'xing'pan'zhang 星盘杖
'xing'pan'zhang'liang'biao 星盘杖量表
'xing'rong 星绒
'xing'sha'li 星砂砾
'xing'ti'feng'bao 星体风暴
'xing'tian'zhi'men 星天之门
'xing'xing'yan 星性岩
'xing'yan'shi 星眼石
'xiong'can'lie 凶残裂
'xiong'ji'sha 胸脊鲨
'xiong'ling'yang 雄羚羊
'xiong'lu'zhan'ge 雄鹿战戈
'xiong'lue'mo'jing'shi 雄略魔晶石
'xiong'mao'bao'bao 熊猫宝宝
'xiong'mao'die'wei'yu 熊猫蝶尾鱼
'xiong'ying'zhi'yu 雄鹰之羽
'xiong'zhang'qiao 兄长桥
'xiong'zhi 熊脂
'xiong'zhu'xie 凶蛛蝎
'xiu'gu'sen 朽骨森
'xiu'jia 馐跏
'xiu'li 修理
'xiu'ni'yu'long 秀尼鱼龙
'xiu'shi'kuang'pa'chong 锈蚀矿爬虫
'xiu'xian'kong'ji'yu 修仙空棘鱼
'xiu'xing'gu'cha'xing'dao'si 修行古刹星导寺
'xiu'yang'sheng'di'bu'lei'fu'luo'ke'si'ye'ying'di 休养胜地布雷福洛克斯野营地
'xiu'zhen'ling'xiu 袖珍领袖
'xu'jing 须鲸
'xu'jing'gai'ji'chuan'shou 须鲸改级船首
'xu'jing'gai'ji'chuan'ti 须鲸改级船体
'xu'jing'gai'ji'chuan'wei 须鲸改级船尾
'xu'jing'gai'ji'jian'qiao 须鲸改级舰桥
'xu'jing'ji'chuan'shou 须鲸级船首
'xu'jing'ji'chuan'shou'gu'jia 须鲸级船首骨架
'xu'jing'ji'chuan'ti 须鲸级船体
'xu'jing'ji'chuan'ti'gu'jia 须鲸级船体骨架
'xu'jing'ji'chuan'wei 须鲸级船尾
'xu'jing'ji'chuan'wei'gu'jia 须鲸级船尾骨架
'xu'jing'ji'jian'qiao 须鲸级舰桥
'xu'jing'ji'jian'qiao'gu'jia 须鲸级舰桥骨架
'xu'kong'di'ya'bo'luo'si 虚空迪亚波罗斯
'xu'kong'lan'ran'ji 虚空蓝染剂
'xu'kong'zhi'yan 虚空之眼
'xu'qiang 虚枪
'xu'wu'jian'guo 虚无坚果
'xu'wu'jie'feng'qie 虚无界风茄
'xu'wu'kuang 虚无矿
'xu'wu'lu 虚无鲈
'xu'zuo'zhi'nan 须佐之男
'xu'zuo'zhi'nan'jian'ji'zhan 须佐之男歼殛战
'xu'zuo'zhi'nan'jian'mie'zhan 须佐之男歼灭战
'xu'zuo'zhi'nan'zhi'xing 须佐之男之形
'xuan'chi'sha 旋齿鲨
'xuan'gang'ban 玄钢板
'xuan'gang'bu'bing'dun 玄钢步兵盾
'xuan'gang'ding 玄钢锭
'xuan'gang'gou 玄钢钩
'xuan'gang'huan 玄钢环
'xuan'gang'kuai 玄钢块
'xuan'gang'lian'zhi'shou'kai 玄钢连指手铠
'xuan'gang'mao'ding 玄钢铆钉
'xuan'gang'shou'kai'bu'jian 玄钢手铠部件
'xuan'gang'si 玄钢丝
'xuan'gang'suo'jia'tou'zhao 玄钢锁甲头罩
'xuan'gang'suo'jia'xue 玄钢锁甲靴
'xuan'gang'suo'zi'kai 玄钢锁子铠
'xuan'gang'xiao'yuan'dun 玄钢小圆盾
'xuan'gang'xiong'jia'bu'jian 玄钢胸甲部件
'xuan'gang'yao'jia 玄钢腰甲
'xuan'gang'zhong'jia 玄钢重甲
'xuan'gang'zhong'shou'kai 玄钢重手铠
'xuan'gang'zhong'zu'kai 玄钢重足铠
'xuan'gang'zu'kai'bu'jian 玄钢足铠部件
'xuan'gou'qun 悬钩群
'xuan'gua'zhi'li 悬挂脂鲤
'xuan'luo 旋螺
'xuan'shui'lian'shan 玄水连山
'xuan'tie'kuang 玄铁矿
'xuan'wu 玄武
'xuan'yan'ju'xiang 玄岩巨像
'xuan'zhuan'liang'pian 旋转亮片
'xue'bai'shi'ying 雪白石英
'xue'bao'gu'pu'xing'xing 雪暴古菩猩猩
'xue'di'bai'lang 雪地白狼
'xue'di'bai'lang'you'zai 雪地白狼幼崽
'xue'fan'qie 血番茄
'xue'hai'zi 雪孩子
'xue'hong'long 血红龙
'xue'hong'qi'yi'guo 血红奇异果
'xue'hong'qi'yi'guo'ta 血红奇异果挞
'xue'hua'she'shan 雪花蛇鳝
'xue'ji'tai 血祭台
'xue'jiao 血椒
'xue'luan'shi 血卵石
'xue'mian 雪棉
'xue'ren'sha'shou 雪人杀手
'xue'rong'hua'shang'hui 雪绒花商会
'xue'se'qi'qiu'yu 血色气球鱼
'xue'shi'bao'ku'jia'ba'le'huan'xiang'tu'shu'guan 学识宝库迦巴勒幻想图书馆
'xue'shi'bei 学士贝
'xue'shi'zhuang'bei'de'gai'liang'cai'liao 学士装备的改良材料
'xue'song'ban'cai 雪松板材
'xue'song'mu'cai 雪松木材
'xue'song'yuan 雪松原
'xue'song'yuan'mu 雪松原木
'xue'song'yuan'yan'an'di 雪松原沿岸地
'xue'song'zhi 雪松枝
'xue'tong'zi 雪童子
'xue'yan'wa 血眼蛙
'xue'yu 血浴
'xue'yu'de'xun'jie 血雨的训诫
'xue'zao 血蚤
'xue'zhan'cang'qiong'mo'ke'xue'yan'jiu'suo 血战苍穹魔科学研究所
'xue'zhe 学者
'xue'zhe'zou'lang 学者走廊
'xun'luo'dui'zhu'suo 巡逻队驻所
'xun'meng'long 迅猛龙
'xun'yi'cao 薰衣草
'xun'yi'cao'miao'pu 薰衣草苗圃
'xun'yi'cao'ran'ji 薰衣草染剂
'xun'yi'cao'yin'yu 薰衣草印鱼
'xun'yi'cao'you 薰衣草油
'xun'yin'zhou'zhang 熏银咒杖
'xun'you'zhe 巡游者
'ya'gao'tang 鸭高汤
'ya'gu 鸭骨
'ya'la'ge'gao'wei'gang'kui'hou 亚拉戈高位钢盔鲎
'ya'la'ge'gao'wei'he'cheng'shou'ge 亚拉戈高位合成兽革
'ya'la'ge'gao'wei'yi'tai'shi'jiao'bu'fang'ju 亚拉戈高位以太石脚部防具
'ya'la'ge'gao'wei'yi'tai'shi'shen'ti'fang'ju 亚拉戈高位以太石身体防具
'ya'la'ge'gao'wei'yi'tai'shi'shou'bu'fang'ju 亚拉戈高位以太石手部防具
'ya'la'ge'gao'wei'yi'tai'shi'tou'bu'fang'ju 亚拉戈高位以太石头部防具
'ya'la'ge'gao'wei'yi'tai'shi'tui'bu'fang'ju 亚拉戈高位以太石腿部防具
'ya'la'ge'gao'wei'yi'tai'shi'wu'qi 亚拉戈高位以太石武器
'ya'la'ge'jian'sha 亚拉戈剑鲨
'ya'la'ge'mo'chu'mei 亚拉戈魔触媒
'ya'la'ge'rou'ge 亚拉戈鞣革
'ya'la'ge'shu'zhi 亚拉戈树脂
'ya'la'ge'wo'niu 亚拉戈蜗牛
'ya'la'ge'wu'zi'kuai 亚拉戈乌兹块
'ya'la'ge'xian'wei 亚拉戈纤维
'ya'la'ge'xin'xing'yi'tai'shi'jiao'bu'fang'ju 亚拉戈新型以太石脚部防具
'ya'la'ge'xin'xing'yi'tai'shi'shen'ti'fang'ju 亚拉戈新型以太石身体防具
'ya'la'ge'xin'xing'yi'tai'shi'shou'bu'fang'ju 亚拉戈新型以太石手部防具
'ya'la'ge'xin'xing'yi'tai'shi'tou'bu'fang'ju 亚拉戈新型以太石头部防具
'ya'la'ge'xin'xing'yi'tai'shi'tui'bu'fang'ju 亚拉戈新型以太石腿部防具
'ya'la'ge'yi'tai'shi'jiao'bu'fang'ju 亚拉戈以太石脚部防具
'ya'la'ge'yi'tai'shi'shen'ti'fang'ju 亚拉戈以太石身体防具
'ya'la'ge'yi'tai'shi'shou'bu'fang'ju 亚拉戈以太石手部防具
'ya'la'ge'yi'tai'shi'tou'bu'fang'ju 亚拉戈以太石头部防具
'ya'la'ge'yi'tai'shi'tui'bu'fang'ju 亚拉戈以太石腿部防具
'ya'la'ge'yi'tai'shi'wu'qi 亚拉戈以太石武器
'ya'li'shan'da'ji'shen'cheng'lv'dong'zhi'zhang 亚历山大机神城律动之章
'ya'li'shan'da'ji'shen'cheng'qi'dong'zhi'zhang 亚历山大机神城启动之章
'ya'li'shan'da'ji'shen'cheng'tian'dong'zhi'zhang 亚历山大机神城天动之章
'ya'li'shan'da'ling'shi'ji'shen'cheng'lv'dong'zhi'zhang 亚历山大零式机神城律动之章
'ya'li'shan'da'ling'shi'ji'shen'cheng'qi'dong'zhi'zhang 亚历山大零式机神城启动之章
'ya'li'shan'da'ling'shi'ji'shen'cheng'tian'dong'zhi'zhang 亚历山大零式机神城天动之章
'ya'li'shan'da'zhuang'jia'ban 亚历山大装甲板
'ya'ma 亚麻
'ya'ma'ban'zhi'shou'tao 亚麻半指手套
'ya'ma'bao'tou'jin 亚麻包头巾
'ya'ma'bu 亚麻布
'ya'ma'chang'yao'wei 亚麻长腰围
'ya'ma'chen'shan 亚麻衬衫
'ya'ma'da'di'duan'shang'yi 亚麻大地短上衣
'ya'ma'da'di'ku 亚麻打底裤
'ya'ma'da'di'kua'ku 亚麻大地垮裤
'ya'ma'da'di'wu'yan'mao 亚麻大地无檐帽
'ya'ma'duan'shou'tao 亚麻短手套
'ya'ma'fan'bu 亚麻帆布
'ya'ma'gao'gen'xie 亚麻高跟鞋
'ya'ma'gong'zuo'fu 亚麻工作服
'ya'ma'gong'zuo'ku 亚麻工作裤
'ya'ma'jin'shen'ku 亚麻紧身裤
'ya'ma'ku'wa 亚麻裤袜
'ya'ma'kua'ku 亚麻垮裤
'ya'ma'kuan'bian'mao 亚麻宽边帽
'ya'ma'lie'lu'mao 亚麻猎鹿帽
'ya'ma'qiao'jiang'duan'shang'yi 亚麻巧匠短上衣
'ya'ma'qiao'jiang'wu'yan'mao 亚麻巧匠无檐帽
'ya'ma'ruan'jia'ku 亚麻软甲裤
'ya'ma'seng'pao 亚麻僧袍
'ya'ma'shu'xi'ku 亚麻束膝裤
'ya'ma'wai'pao 亚麻外袍
'ya'ma'wei'qun'zhuang 亚麻围裙装
'ya'ma'xian 亚麻线
'ya'ma'yang'san 亚麻阳伞
'ya'ma'you 亚麻油
'ya'te'ke'han 亚特可汗
'ya'te'xia'hu 亚特虾虎
'ya'xiu'te'la 雅修特拉
'ya'xiu'te'la'an'ying 雅修特拉暗影
