'an'bao'mi'zhuan'li'shen'qing'chu'li 按保密专利申请处理
'ju'li'shuo'ming 举例说明
'ju'ling 局令
'ju'ming 具名
'ju'ti'fang'qi 具体放弃
'ju'ti'fang'qi'de'fang'shi 具体放弃的方式
'ju'ti'fang'qi'shi'xiu'gai 具体放弃式修改
'ju'ti'fang'shi 具体方式
'ju'ti'gai'nian 具体概念
'ju'ti'li'you 具体理由
'ju'ti'ling'yu 具体领域
'ju'ti'shi'li 具体实例
'ju'ti'shi'shi'fang'shi 具体实施方式
'ju'ti'xian'ding 具体限定
'ju'ti'xing'zheng'xing'wei 具体行政行为
'ju'ti'yuan'yin 具体原因
'ju'ti'zheng'ju 具体证据
'ju'you'chuang'zao'xing 具有创造性
'ju'you'dan'yi'xing 具有单一性
'ju'you'shi'yong'xing 具有实用性
'ju'you'tong'deng'xiao'li 具有同等效力
'ju'you'xin'ying'xing 具有新颖性
'ju'you'zhui'su'li 具有追溯力
'ju'zhang'ling 局长令
'ju'zheng 举证
'ju'zheng'bu'neng 举证不能
'ju'zheng'qi'xian 举证期限
'ju'zheng'shi'xian 举证时限
'ju'zheng'yuan'ze 举证原则
'ju'zheng'ze'ren 举证责任
'ju'zheng'ze'ren'dao'zhi 举证责任倒置
'ju'zheng'ze'ren'fen'pei'yuan'ze 举证责任分配原则
'ju'zhi'jian 局质检
'ju'zhi'jian'zu 局质检组
'juan'qi'hao 卷期号
'jue'ding'de'li'you 决定的理由
'jue'ding'shu 决定书
'jue'ding'yao'dian 决定要点
'jue'dui'xin'ying'xing 绝对新颖性
'jue'dui'xin'ying'xing'biao'zhun 绝对新颖性标准
'jue'mi'ji 绝密级
'jue'mi'ji'guo'jia'mi'mi 绝密级国家秘密
'jun'yun'chu'an 均匀出案
'kai'chuang'xing 开创性
'kai'chuang'xing'ji'shu'ling'yu 开创性技术领域
'kai'fang'shi 开放式
'kai'fang'shi'quan'li'yao'qiu 开放式权利要求
'kai'tuo'xing'fa'ming 开拓性发明
'kan'yan 勘验
'kan'yan'bi'lu 勘验笔录
'kan'yan'ren 勘验人
'kang'bian 抗辩
'kao'he'wei'yuan'hui 考核委员会
'ke'cao'zuo'xing 可操作性
'ke'guan'ji'shu'wen'ti 客观技术问题
'ke'huo'de'ri 可获得日
'ke'huo'de'xing 可获得性
'ke'ji'shu'ji 科技书籍
'ke'ji'shu'yu 科技术语
'ke'ji'za'zhi 科技杂志
'ke'jian'suo'xing 可检索性
'ke'neng'xing 可能性
'ke'xuan'ze'yao'su 可选择要素
'ke'xue'fa'xian 科学发现
'ke'xue'li'lun 科学理论
'ke'xue'wen'zhai 科学文摘
'ke'xue'yan'jiu'he'shi'yan 科学研究和实验
'ke'yu'jian 可预见
'ke'yu'jian'xing 可预见性
'ke'yu'jian'xing'shui'ping 可预见性水平
'ke'yuan'ji'shen'cha'yan'jiu'shi'xi'yuan 科员级审查研究实习员
'ke'yuan'ji'shen'cha'yuan 科员级审查员
'ke'zhuan'li'hua 可专利化
'ke'zhuan'li'xing 可专利性
'ken'ding'qi'chuang'zao'xing 肯定其创造性
'ken'ding'qi'shi'yong'xing 肯定其实用性
'ken'ding'qi'xin'ying'xing 肯定其新颖性
'kou'tou'gong'kai 口头公开
'kou'tou'gong'kai'ri 口头公开日
'kou'tou'shen'li 口头审理
'kou'tou'shen'li'gong'gao 口头审理公告
'kou'tou'shen'li'ji'lu'biao 口头审理记录表
'kou'tou'shen'li'tong'zhi'shu 口头审理通知书
'kou'tou'shen'li'tong'zhi'shu'hui'zhi 口头审理通知书回执
'kuan'xian'fei 宽限费
'kuan'xian'qi 宽限期
'kuang'tu 框图
'kuang'xian'shi'biao'ge 框线式表格
'kuo'da'jie'shi 扩大解释
'kuo'da'xing'jie'shi 扩大性解释
'la'ji'shen'qing 垃圾申请
'la'ji'zhuan'li 垃圾专利
'lan'yong'quan'li 滥用权利
'lan'yong'zhuan'li'quan 滥用专利权
'lan'zhang'ri 蓝章日
'lao'ban'shen'cha'zhi'nan 老版审查指南
'lao'ban'zhi'nan 老版指南
'lei'ming 类名
'lei'si'yong'yu 类似用语
'li'an 立案
'li'fa'mu'di 立法目的
'li'fa'zong'zhi 立法宗旨
'li'hai'guan'xi 利害关系
'li'hai'guan'xi'ren 利害关系人
'li'jie'fa'ming 理解发明
'li'ti'tu 立体图
'li'wai'gui'ding 例外规定
'li'yong'du'yi'wu'er'de'zi'ran'tiao'jian'de'chan'pin 利用独一无二的自然条件的产品
'li'you'bu'cheng'li 理由不成立
'li'you'cheng'li 理由成立
'li'yu'guang 李玉光
'lian'jie'guan'xi 连接关系
'lian'jie'te'zheng 连接特征
'lian'xi'ren 联系人
'lin'bing'hui 林炳辉
'lin'shi'bao'hu 临时保护
'lin'shi'bao'hu'cuo'shi 临时保护措施
'lin'shi'bao'hu'qi 临时保护期
'lin'shi'cuo'shi 临时措施
'lin'shi'guo'jing 临时过境
'ling'xing 另行
'ling'you 另有
'ling'you'gui'ding 另有规定
'ling'you'sheng'ming 另有声明
'ling'you'xie'yi 另有协议
'liu'cheng'bu'men 流程部门
'liu'cheng'tu 流程图
'liu'shui'hao 流水号
'lou'jian 漏检
'lun'hou'bao'quan 轮候保全
'lun'hou'bao'quan'tong'zhi'shu 轮候保全通知书
'luo'ji'tiao'jian 逻辑条件
'luo'jia'nuo 洛迦诺
'luo'jia'nuo'fen'lei 洛迦诺分类
'luo'jia'nuo'xie'ding 洛迦诺协定
'luo'ru 落入
'lv'shi'shi'wu'suo 律师事务所
'ma'ku'shi 马库什
'ma'ku'shi'fa 马库什法
'ma'ku'shi'quan'li'yao'qiu 马库什权利要求
'ma'ku'shi'zu'he 马库什组合
'man'shi'ba'ge'yue 满十八个月
'man'shi'ba'ge'yue'gong'bu 满十八个月公布
'man'shi'ba'ge'yue'gong'kai 满十八个月公开
'mao'chong'zhuan'li 冒充专利
'mao'chong'zhuan'li'xing'wei 冒充专利行为
'mei'guo'zhuan'li'shang'biao'ju 美国专利商标局
'mei'you'xian'ding'zuo'yong 没有限定作用
'mi'ji 密级
'mi'qie'guan'xi 密切关系
'mi'qie'xiang'guan 密切相关
'mie'shi 灭失
'min'shi'quan'li 民事权利
'min'shi'su'song'fa 民事诉讼法
'min'shi'ze'ren 民事责任
'ming'que'gong'kai 明确公开
'ming'que'ji'zai 明确记载
'ming'shi 明示
'ming'shi'bao'mi'yi'wu 明示保密义务
'ming'shi'de'bao'mi'yi'wu 明示的保密义务
'ming'wen'jin'zhi 明文禁止
'ming'xian'bu'tong 明显不同
'ming'xian'cuo'wu 明显错误
'ming'xian'cuo'wu'geng'zheng 明显错误更正
'ming'xian'lou'jian 明显漏检
'ming'xian'que'fa'dan'yi'xing 明显缺乏单一性
'ming'xian'shi'zhi'xing'que'xian 明显实质性缺陷
'ming'xian'wei'fan'gong'ping'yuan'ze 明显违反公平原则
'ming'zhong 命中
'ming'zhong'jie'guo 命中结果
'ming'zhong'lv 命中率
'mo'qi'bao'mi 默契保密
'mo'shi 默示
'mo'shi'bao'mi'yi'wu 默示保密义务
'mo'shi'de'bao'mi'yi'wu 默示的保密义务
'mu'an 母案
'mu'di'jie'shi 目的解释
'nan'yi'que'ding 难以确定
'nan'yi'yu'jian 难以预见
'nan'yu'yu'jian 难于预见
'nei'bu'biao'zhun 内部标准
'nei'bu'fa'xing 内部发行
'nei'bu'kan'wu 内部刊物
'nei'bu'wen'jian 内部文件
'nei'bu'zi'liao 内部资料
'neng'gou'chan'sheng 能够产生
'neng'gou'chan'sheng'ji'ji'xiao'guo 能够产生积极效果
'neng'gou'chan'sheng'yu'liao'bu'dao'de'ji'shu'xiao'guo 能够产生预料不到的技术效果
'neng'gou'de'zhi 能够得知
'neng'gou'shi'shi 能够实施
'neng'gou'shi'xian 能够实现
'neng'gou'zhi'zao'huo'zhe'shi'yong 能够制造或者使用
'nian'fei 年费
'nian'fei'jiao'na'zhuang'kuang'xiu'gai'tong'zhi'dan 年费缴纳状况修改通知单
'nian'fei'zhi'na'jin 年费滞纳金
'nian'hao 年号
'nian'jian 年检
'ou'ran'gong'kai 偶然公开
'ou'ran'zhan'xian 偶然占先
'ou'ya'zhuan'li'ju 欧亚专利局
'ou'zhou'zhuan'li'ju 欧洲专利局
'ou'zhou'zhuan'li'ju'shen'su'wei'yuan'hui 欧洲专利局申诉委员会
'ou'zhuan'ju 欧专局
'pai'chu'de'qing'kuang 排除的情况
'pai'chu'de'xian'ding'fang'shi 排除的限定方式
'pai'chu'shi 排除式
'pai'chu'shi'xian'ding 排除式限定
'pai'chu'shi'yong'yu 排除式用语
'pai'ta 排他
'pai'ta'shi'shi'xu'ke 排他实施许可
'pai'ta'shi'shi'xu'ke'he'tong 排他实施许可合同
'pai'ta'xing 排他性
'pai'ta'zhuan'li'shi'shi'xu'ke 排他专利实施许可
'pai'ta'zhuan'li'shi'shi'xu'ke'he'tong 排他专利实施许可合同
'pan'ding 判定
'pan'duan'biao'zhun 判断标准
'pan'duan'fang'fa 判断方法
'pan'duan'ji'zhun 判断基准
'pan'duan'jie'guo 判断结果
'pan'duan'ke'ti 判断客体
'pan'duan'san'xing 判断三性
'pan'duan'si'lu 判断思路
'pan'duan'yuan'ze 判断原则
'pan'duan'zhu'ti 判断主体
'pan'li 判例
'pan'li'fa 判例法
'pang'ting 旁听
'pang'zheng 旁证
'pei'chang'sun'shi 赔偿损失
'pei'he'guan'xi 配合关系
'pei'li'dao'qian 赔礼道歉
'pei'xun'zhong'xin 培训中心
'peng'tiao'fang'fa 烹调方法
'ping'chuang'zao'xing 评创造性
'ping'jia'chuang'zao'xing 评价创造性
'ping'jia'san'xing 评价三性
'ping'jia'shi'yong'xing 评价实用性
'ping'jia'xin'ying'xing 评价新颖性
'ping'san'xing 评三性
'ping'shi'yong'xing 评实用性
'ping'xin'ying'xing 评新颖性
'po'huai'chuang'zao'xing 破坏创造性
'po'huai'xin'ying'xing 破坏新颖性
'pou'shi'tu 剖视图
'pu'tong'ji'shu'ren'yuan 普通技术人员
'pu'tong'ji'shu'zhi'shi 普通技术知识
'pu'tong'shi'shi'xu'ke 普通实施许可
'pu'tong'shi'shi'xu'ke'he'tong 普通实施许可合同
'pu'tong'xiao'fei'zhe 普通消费者
'pu'tong'zhuan'li 普通专利
'pu'tong'zhuan'li'shen'qing 普通专利申请
'pu'tong'zhuan'li'shi'shi'xu'ke 普通专利实施许可
'pu'tong'zhuan'li'shi'shi'xu'ke'he'tong 普通专利实施许可合同
'qi'man 期满
'qi'man'ri 期满日
'qi'man'zhi'ri 期满之日
'qi'shen'qing 其申请
'qi'shi'ri 起始日
'qi'suan'ri 起算日
'qi'suo'shu'guo 其所属国
'qi'te'zheng 其特征
'qi'te'zheng'shi 其特征是
'qi'te'zheng'wei 其特征为
'qi'te'zheng'zai'yu 其特征在于
'qi'wai'guan'she'ji'zhuan'li'chan'pin 其外观设计专利产品
'qi'xian'jie'man 期限届满
'qi'xian'jie'man'qian 期限届满前
'qi'xian'jie'man'qian'tong'zhi'shu 期限届满前通知书
'qi'xian'jie'man'ri 期限届满日
'qi'xian'jie'man'tong'zhi'shu 期限届满通知书
'qi'xian'jie'man'zhi'ri 期限届满之日
'qi'xian'qi'suan'ri 期限起算日
'qi'xian'yan'chang 期限延长
'qi'ye'biao'zhun 企业标准
'qi'zhuan'li 其专利
'qi'zhuan'li'chan'pin 其专利产品
'qi'zhuan'li'fang'fa 其专利方法
'qia'dang'biao'shu 恰当表述
'qian'ding'ri'qi 签订日期
'qian'fa 签发
'qian'fa'ri'qi 签发日期
'qian'kuan 前款
'qian'ming'huo'zhe'gai'zhang 签名或者盖章
'qian'qi'quan'li'ren 前期权利人
'qian'shu 前述
'qian'shu'quan'li'yao'qiu 前述权利要求
'qian'shu'ri'qi 签署日期
'qian'su'shi'yong 前溯适用
'qian'ti'shi'shi 前提事实
'qian'ti'tiao'jian 前提条件
'qian'xiang 前项
'qian'xu'bu'fen 前序部分
'qian'yi 前一
'qian'zhang 签章
'qian'zhi 前置
'qian'zhi'shen'cha 前置审查
'qian'zhi'shen'cha'tong'zhi'shu 前置审查通知书
'qian'zhi'shen'cha'yi'jian'shu 前置审查意见书
'qian'zi'huo'zhe'gai'zhang 签字或者盖章
'qiang'hua'de'chu'bu'shen'cha'zhi 强化的初步审查制
'qiang'zhi'xu'ke 强制许可
'qiang'zhi'xu'ke'qing'qiu 强制许可请求
'qiang'zhi'xu'ke'qing'qiu'fei 强制许可请求费
'qiang'zhi'xu'ke'qing'qiu'ren 强制许可请求人
'qiang'zhi'xu'ke'qing'qiu'shu 强制许可请求书
'qiang'zhi'xu'ke'shi'yong'cai'jue'qing'qiu'fei 强制许可使用裁决请求费
'qiang'zhi'xu'ke'shi'yong'fei 强制许可使用费
'qiang'zhi'xu'ke'shi'yong'fei'cai'jue 强制许可使用费裁决
'qiang'zhi'xu'ke'shi'yong'fei'cai'jue'qing'qiu 强制许可使用费裁决请求
'qiang'zhi'xu'ke'shi'yong'fei'cai'jue'qing'qiu'shu 强制许可使用费裁决请求书
'qiang'zhi'xu'ke'shi'yong'fei'de'cai'jue'qing'qiu'fei 强制许可使用费的裁决请求费
'qiang'zhi'xu'ke'shi'yong'fei'shu'e'cai'jue 强制许可使用费数额裁决
'qiang'zhi'xu'ke'shi'yong'fei'shu'e'cai'jue'qing'qiu 强制许可使用费数额裁决请求
'qiang'zhi'xu'ke'shi'yong'fei'shu'e'cai'jue'qing'qiu'shu 强制许可使用费数额裁决请求书
'qiang'zhi'xu'ke'shi'yong'fei'yong 强制许可使用费用
'qiang'zhi'xu'ke'shou'yi'ren 强制许可受益人
'qiang'zhi'xu'ke'zhi'du 强制许可制度
'qiang'zhi'xu'ke'zhong'zhi 强制许可终止
'qiang'zhi'xu'ke'zi'dong'zhong'zhi 强制许可自动终止
'qiang'zhi'zhi'xing 强制执行
'qin'duo 侵夺
'qin'fan'zhuan'li'quan 侵犯专利权
'qin'hai 侵害
'qin'hai'ren 侵害人
'qin'hai'xing'wei 侵害行为
'qin'quan 侵权
'qin'quan'bu'cheng'li 侵权不成立
'qin'quan'chan'pin 侵权产品
'qin'quan'cheng'li 侵权成立
'qin'quan'fang 侵权方
'qin'quan'jie'guo'fa'sheng'di 侵权结果发生地
'qin'quan'jiu'fen 侵权纠纷
'qin'quan'pan'ding 侵权判定
'qin'quan'ren 侵权人
'qin'quan'wu 侵权物
'qin'quan'xing'wei 侵权行为
'qin'quan'xing'wei'bu'cheng'li 侵权行为不成立
'qin'quan'xing'wei'cheng'li 侵权行为成立
'qin'quan'xing'wei'di 侵权行为地
'qin'quan'xing'wei'ren 侵权行为人
'qin'quan'zheng'yi 侵权争议
'qing'qiu'bao'hu 请求保护
'qing'qiu'cai'jue'qiang'zhi'xu'ke'shi'yong'fei 请求裁决强制许可使用费
'qing'qiu'fang 请求方
'qing'qiu'fu'shen 请求复审
'qing'qiu'geng'zheng'cuo'wu'bao'gao 请求更正错误报告
'qing'qiu'hui'fu'quan'li 请求恢复权利
'qing'qiu'ji'yu'qiang'zhi'xu'ke 请求给予强制许可
'qing'qiu'nei'rong 请求内容
'qing'qiu'ren 请求人
'qing'qiu'shen'cha'zhi 请求审查制
'qing'qiu'shu 请求书
'qing'qiu'shu'fu'ben 请求书副本
'qing'qiu'shu'fu'jian 请求书附件
'qing'qiu'xuan'gao'guo'fang'zhuan'li'quan'wu'xiao 请求宣告国防专利权无效
'qing'qiu'xuan'gao'zhuan'li'quan'wu'xiao 请求宣告专利权无效
'qing'qiu'yuan'ze 请求原则
'qing'qiu'zhong'zhi'qiang'zhi'xu'ke 请求终止强制许可
'qing'qiu'zhuan'li'quan'ti'qian'zhong'zhi 请求专利权提前终止
'qing'xiang'xing'yi'jian 倾向性意见
'qu'bie'ji'shu'te'zheng 区别技术特征
'qu'bie'te'zheng 区别特征
'qu'xian'tu 曲线图
'qu'zheng 取证
'quan'bu'shen'qing'ren 全部申请人
'quan'bu'wu'xiao 全部无效
'quan'bu'zai'ban 全部再版
'quan'bu'zhu'ti 全部主题
'quan'guo'dai'li'ren'kao'shi 全国代理人考试
'quan'guo'dai'li'ren'zi'ge'kao'shi 全国代理人资格考试
'quan'guo'zhuan'li'dai'li'ren'kao'shi 全国专利代理人考试
'quan'guo'zhuan'li'dai'li'ren'zi'ge'kao'shi 全国专利代理人资格考试
'quan'li'chong'die 权利重叠
'quan'li'chong'tu 权利冲突
'quan'li'chu'zhi 权利处置
'quan'li'jiao'cha 权利交叉
'quan'li'lan'yong 权利滥用
'quan'li'ren 权利人
'quan'li'sang'shi 权利丧失
'quan'li'yao'qiu 权利要求
'quan'li'yao'qiu'de'nei'rong 权利要求的内容
'quan'li'yao'qiu'fu'jia'fei 权利要求附加费
'quan'li'yao'qiu'shu 权利要求书
'quan'li'yao'qiu'shu'mu 权利要求数目
'quan'li'yao'qiu'xiang'shu 权利要求项数
'quan'li'yong'jin 权利用尽
'quan'li'yong'jin'lun 权利用尽论
'quan'li'zhu'zhang 权利主张
'quan'li'zhuan'rang 权利转让
'quan'li'zhuan'yi 权利转移
'quan'mian'fu'gai 全面覆盖
'quan'mian'fu'gai'yuan'ze 全面覆盖原则
'quan'mian'shen'cha 全面审查
'quan'shu 权属
'quan'shu'jiu'fen 权属纠纷
'quan'ti'gong'you'ren 全体共有人
'quan'ti'shen'qing'ren 全体申请人
'quan'ti'zhuan'li'quan'ren 全体专利权人
'quan'wen'bi'jiao 全文比较
'quan'wen'bi'jiao'yuan'ze 全文比较原则
'quan'wen'jian'suo 全文检索
'quan'wen'jian'suo'xi'tong 全文检索系统
'quan'wen'nei'rong 全文内容
'quan'wen'shu'ju'ku 全文数据库
'quan'wen'zai'ban 全文再版
'que'bi'yao'ji'shu'te'zheng 缺必要技术特征
'que'ding'de'fan'wei 确定的范围
'que'ding'xing'zhuang 确定形状
'que'fa'dan'yi'xing 缺乏单一性
'que'fa'zheng'ju'zhi'chi 缺乏证据支持
'que'quan 确权
'que'quan'su'song 确权诉讼
'que'ren'fei 确认费
'que'shao'bi'yao'ji'shu'te'zheng 缺少必要技术特征
'que'xi'shen'li 缺席审理
'ren'ding 认定
'ren'ding'ji'zhun 认定基准
'ren'ding'yuan'ze 认定原则
'ren'ke 认可
'ren'min'fa'yuan'pan'jue'shu 人民法院判决书
'ren'nian 人年
'ren'wei'bi'yao'shi 认为必要时
'ren'wu'liang 任务量
'ren'yi'ren 任意人
'reng'yu'gong'bu 仍予公布
'ri'ben'te'xu'ting 日本特许厅
'ri'ben'zhuan'li'ju 日本专利局
'ru'quan'li'yao'qiu 如权利要求
'ru'shi'shen'cheng'xu'chu 入实审程序处
'san'bu'fa 三步法
'san'lei'cuo'wu 三类错误
'san'tong 三通
'san'tong'biao 三通表
'san'tong'biao'ge 三通表格
'san'tong'zheng'wen 三通正文
'san'xing 三性
'san'xing'pan'duan 三性判断
'sang'shi'chuang'zao'xing 丧失创造性
'sang'shi'xin'ying'xing 丧失新颖性
'sao'miao'jian 扫描件
'se'cai'xiang'jin'si 色彩相近似
'shan'yi'di'san'ren 善意第三人
'shang'kuan 上款
'shang'wei 上位
'shang'wei'gai'nian 上位概念
'shang'wei'gai'nian'gai'kuo 上位概念概括
'shang'wei'shou'quan 尚未授权
'shang'ye'fang'fa 商业方法
'shang'ye'li'yong 商业利用
'shang'ye'li'yong'xing'wei 商业利用行为
'shang'ye'mi'mi 商业秘密
'shang'ye'shang'huo'de'cheng'gong 商业上获得成功
'shang'ye'xi'guan 商业习惯
'shang'ye'xing'xuan'chuan'yong'yu 商业性宣传用语
'she'an'zhuan'li 涉案专利
'she'hui'gong'de 社会公德
'she'hui'gong'zhong 社会公众
'she'ji'chuan'bo'zhe 设计传播者
'she'ji'de'quan'li'yao'qiu 涉及的权利要求
'she'ji'fang'an 设计方案
'she'ji'gong'gong'jian'kang'wen'ti'de'zhuan'li'shi'shi'qiang'zhi'xu'ke'ban'fa 涉及公共健康问题的专利实施强制许可办法
'she'ji'gou'si 设计构思
'she'ji'guo'jia'zhong'da'li'yi 涉及国家重大利益
'she'ji'huo'zhi'zhe 设计获知者
'she'ji'ji'suan'ji'cheng'xu'de'fa'ming 涉及计算机程序的发明
'she'ji'nei'rong 设计内容
'she'ji'ren 设计人
'she'ji'ren'bian'geng 设计人变更
'she'ji'ren'xing'ming 设计人姓名
'she'ji'ren'zi'ge 设计人资格
'she'ji'sheng'wu'cai'liao'de'shen'qing 涉及生物材料的申请
'she'ji'zhe 设计者
'she'wai'dai'li 涉外代理
'she'wai'dai'li'ji'gou 涉外代理机构
'she'wai'dai'li'ji'gou'shi'wu'bu'jiu'tong'zhi'shu 涉外代理机构失误补救通知书
'she'wai'shi'wu'fu'wu'shen'pi'tong'zhi'shu 涉外失误服务审批通知书
'she'wai'zhuan'li'dai'li 涉外专利代理
'she'wai'zhuan'li'dai'li'ji'gou 涉外专利代理机构
'she'wai'zhuan'li'shi'wu 涉外专利事务
'shei'zhu'zhang'shei'ju'zheng 谁主张谁举证
'shen'bian 申辩
'shen'cha'biao'zhun 审查标准
'shen'cha'cheng'xu 审查程序
'shen'cha'cheng'xu'zhong'zhi 审查程序终止
'shen'cha'du'li 审查独立
'shen'cha'du'li'yuan'ze 审查独立原则
'shen'cha'fang'shi 审查方式
'shen'cha'fei 审查费
'shen'cha'gong'zuo 审查工作
'shen'cha'guo'cheng 审查过程
'shen'cha'ji'chu 审查基础
'shen'cha'ji'chu'sheng'ming 审查基础声明
'shen'cha'ji'gou 审查机构
'shen'cha'ji'zhun 审查基准
'shen'cha'jie'guo'zi'liao 审查结果资料
'shen'cha'jie'lun 审查结论
'shen'cha'jin'cheng 审查进程
'shen'cha'jue'ding 审查决定
'shen'cha'ren'wu 审查任务
'shen'cha'shi'jian 审查实践
'shen'cha'si'lu 审查思路
'shen'cha'tong'zhi'shu 审查通知书
'shen'cha'wen'ben 审查文本
'shen'cha'xie'zuo'zhong'xin 审查协作中心
'shen'cha'ye'wu 审查业务
'shen'cha'ye'wu'bu 审查业务部
'shen'cha'ye'wu'guan'li'bu 审查业务管理部
'shen'cha'ye'wu'tong'xun 审查业务通讯
'shen'cha'ye'wu'zhuan'yong'bian'han 审查业务专用便函
'shen'cha'yi'jian 审查意见
'shen'cha'yi'jian'bu'qia'dang 审查意见不恰当
'shen'cha'yi'jian'tong'zhi'shu 审查意见通知书
'shen'cha'yi'jian'tong'zhi'shu'zheng'wen 审查意见通知书正文
'shen'cha'yuan 审查员
'shen'cha'yuan'yi'zhi'quan'xiu'gai 审查员依职权修改
'shen'cha'yuan'yi'zhi'quan'xiu'gai'tong'zhi 审查员依职权修改通知
'shen'cha'yuan'ze 审查原则
'shen'cha'zhi 审查制
'shen'cha'zhi'du 审查制度
'shen'cha'zhi'nan 审查指南
'shen'cha'zhuang'tai 审查状态
'shen'ding 审定
'shen'ding'shu 审定书
'shen'ding'wen'ben 审定文本
'shen'ji'sun'shi 审级损失
'shen'jie 审结
'shen'li 审理
'shen'li'guo'cheng 审理过程
'shen'li'zhuan'li'jiu'fen'gui'ding 审理专利纠纷规定
'shen'pi 审批
'shen'pi'biao'zhun 审批标准
'shen'pi'cheng'xu 审批程序
'shen'pi'jue'ding 审批决定
'shen'pi'li'shi 审批历史
'shen'pi'liu'cheng 审批流程
'shen'pi'shou'xu 审批手续
'shen'pi'tong'zhi'shu 审批通知书
'shen'pi'zhi'du 审批制度
'shen'qing'an'juan 申请案卷
'shen'qing'fei 申请费
'shen'qing'fei'yong 申请费用
'shen'qing'fu'jia'fei 申请附加费
'shen'qing'gong'bu'hao 申请公布号
'shen'qing'gong'bu'ri 申请公布日
'shen'qing'guo'fang'zhuan'li 申请国防专利
'shen'qing'hao 申请号
'shen'qing'hou'ti'jiao 申请后提交
'shen'qing'hou'ti'jiao'wen'jian 申请后提交文件
'shen'qing'hou'ti'jiao'wen'jian'bu'shou'li 申请后提交文件不受理
'shen'qing'hou'ti'jiao'wen'jian'bu'shou'li'tong'zhi'shu 申请后提交文件不受理通知书
'shen'qing'hou'ti'jiao'wen'jian'qing'dan 申请后提交文件清单
'shen'qing'lei'bie'ma 申请类别码
'shen'qing'lei'xing 申请类型
'shen'qing'liang 申请量
'shen'qing'liu'shui'hao 申请流水号
'shen'qing'nian'hao 申请年号
'shen'qing'quan 申请权
'shen'qing'quan'zhuan'rang 申请权转让
'shen'qing'quan'zhuan'yi 申请权转移
'shen'qing'ren 申请人
'shen'qing'ren'bian'geng 申请人变更
'shen'qing'ren'bu'tong 申请人不同
'shen'qing'ren'di'zhi 申请人地址
'shen'qing'ren'guo'ji'bian'geng 申请人国籍变更
'shen'qing'ren'ming'cheng 申请人名称
'shen'qing'ren'ming'cheng'bian'geng 申请人名称变更
'shen'qing'ren'xiang'tong 申请人相同
'shen'qing'ren'xing'ming 申请人姓名
'shen'qing'ren'xing'ming'bian'geng 申请人姓名变更
'shen'qing'ren'xing'ming'huo'ming'cheng 申请人姓名或名称
'shen'qing'ren'xing'ming'huo'ming'cheng'ji'di'zhi 申请人姓名或名称及地址
'shen'qing'ren'zhi'nan 申请人指南
'shen'qing'ren'zhu'dong'xiu'gai 申请人主动修改
'shen'qing'ren'zi'ge 申请人资格
'shen'qing'ri 申请日
'shen'qing'shou'xu 申请手续
'shen'qing'shou'xu'he'ge 申请手续合格
'shen'qing'wei'chi'fei 申请维持费
'shen'qing'wen'dang 申请文档
'shen'qing'wen'jian 申请文件
'shen'qing'wen'jian'fu'ben 申请文件副本
'shen'qing'wen'jian'ti'huan'ye 申请文件替换页
'shen'qing'zai'xian 申请在先
'shen'qing'zai'xian'gong'kai'zai'hou 申请在先公开在后
'shen'qing'zhong'lei'hao 申请种类号
'shen'qing'zhuan'li 申请专利
'shen'qing'zi'ge 申请资格
'shen'su'wei'yuan'hui 申诉委员会
'shen'xian 审限
'shen'xie 审协
'shen'ye 审业
'sheng'chan'ding'xing'jian'ding 生产定型鉴定
'sheng'chan'jing'ying'mu'di 生产经营目的
'sheng'ming'nei'rong 声明内容
'sheng'wu'cai'liao 生物材料
'sheng'wu'cai'liao'shi'wei'wei'ti'jiao'bao'cang 生物材料视为未提交保藏
'sheng'wu'cai'liao'yang'pin'bao'cang 生物材料样品保藏
'sheng'wu'cai'liao'yang'pin'shi'wei'wei'bao'cang 生物材料样品视为未保藏
'sheng'wu'cai'liao'yang'pin'shi'wei'wei'bao'cang'tong'zhi'shu 生物材料样品视为未保藏通知书
'sheng'wu'ji'shu'ling'yu'fa'ming'zhuan'li'shen'qing 生物技术领域发明专利申请
'sheng'xiao 生效
'sheng'xiao'ri 生效日
'sheng'xiao'tiao'jian 生效条件
'sheng'xiao'zhi'ri 生效之日
'shi'bie'te'zheng 识别特征
'shi'che 视撤
'shi'che'dan 视撤单
'shi'che'lv 视撤率
'shi'fang 视放
'shi'ji'gong'bu'ri 实际公布日
'shi'ji'gong'kai'ri 实际公开日
'shi'ji'jie'jue'de'ji'shu'wen'ti 实际解决的技术问题
'shi'ji'shen'qing'ri 实际申请日
'shi'ji'shou'dao'ri 实际收到日
'shi'jian'dian 时间点
'shi'jian'jie'xian 时间界限
'shi'jian'ying'yong 实践应用
'shi'jie'mao'yi'zu'zhi 世界贸易组织
'shi'jie'xin'ying'xing 世界新颖性
'shi'jie'zhi'shi'chan'quan'zu'zhi 世界知识产权组织
'shi'jie'zhi'shi'chan'quan'zu'zhi'guo'ji'ju 世界知识产权组织国际局
'shi'mao'zu'zhi 世贸组织
'shi'shen 实审
'shi'shen'can'kao'zi'liao 实审参考资料
'shi'shen'cheng'xu 实审程序
'shi'shen'fei 实审费
'shi'shen'liu'cheng 实审流程
'shi'shen'qing'qiu 实审请求
'shi'shen'qing'qiu'shu 实审请求书
'shi'shen'shen'cha'yuan 实审审查员
